step 0 used 373984K, path: <PathGroup with 1 active>
step 10 used 384236K, path: <PathGroup with 1 active>
step 20 used 394188K, path: <PathGroup with 1 active>
step 30 used 404240K, path: <PathGroup with 1 active>
step 40 used 433380K, path: <PathGroup with 1 active>
step 50 used 440928K, path: <PathGroup with 1 active>
step 60 used 446208K, path: <PathGroup with 1 active>
step 70 used 551396K, path: <PathGroup with 1 deadended, 10 active>
step 80 used 674248K, path: <PathGroup with 10 deadended, 20 active>
step 90 used 802756K, path: <PathGroup with 24 deadended, 22 active>
step 100 used 939564K, path: <PathGroup with 42 deadended, 23 active>
step 110 used 1084472K, path: <PathGroup with 62 deadended, 19 active>
step 120 used 1217060K, path: <PathGroup with 79 deadended, 21 active>
step 130 used 1349252K, path: <PathGroup with 94 deadended, 22 active>
step 140 used 1486464K, path: <PathGroup with 112 deadended, 23 active>
step 150 used 1632984K, path: <PathGroup with 132 deadended, 19 active>
step 160 used 1763700K, path: <PathGroup with 149 deadended, 21 active>
step 170 used 1896260K, path: <PathGroup with 164 deadended, 22 active>
step 180 used 2034656K, path: <PathGroup with 182 deadended, 23 active>
step 190 used 2180888K, path: <PathGroup with 202 deadended, 19 active>
step 200 used 2312644K, path: <PathGroup with 219 deadended, 21 active>
step 210 used 2447948K, path: <PathGroup with 234 deadended, 22 active>
step 220 used 2587080K, path: <PathGroup with 252 deadended, 23 active>
step 230 used 2733320K, path: <PathGroup with 272 deadended, 19 active>
step 240 used 2864376K, path: <PathGroup with 289 deadended, 21 active>
step 250 used 2998692K, path: <PathGroup with 304 deadended, 22 active>
step 260 used 3137660K, path: <PathGroup with 322 deadended, 23 active>
step 270 used 3287256K, path: <PathGroup with 342 deadended, 19 active>
step 280 used 3417852K, path: <PathGroup with 359 deadended, 21 active>
step 290 used 3553712K, path: <PathGroup with 374 deadended, 22 active>
step 300 used 3693496K, path: <PathGroup with 392 deadended, 23 active>
step 310 used 3838276K, path: <PathGroup with 412 deadended, 19 active>
step 320 used 3972572K, path: <PathGroup with 429 deadended, 21 active>
step 330 used 4109640K, path: <PathGroup with 444 deadended, 22 active>
step 340 used 4253484K, path: <PathGroup with 462 deadended, 23 active>
step 350 used 4400796K, path: <PathGroup with 482 deadended, 19 active>
step 360 used 4535344K, path: <PathGroup with 499 deadended, 21 active>
step 370 used 4674580K, path: <PathGroup with 514 deadended, 22 active>
step 380 used 4815164K, path: <PathGroup with 532 deadended, 23 active>
step 390 used 4961576K, path: <PathGroup with 552 deadended, 19 active>
step 400 used 5098120K, path: <PathGroup with 569 deadended, 21 active>
step 410 used 5236732K, path: <PathGroup with 584 deadended, 22 active>
step 420 used 5380844K, path: <PathGroup with 602 deadended, 23 active>
step 430 used 5526580K, path: <PathGroup with 622 deadended, 19 active>
step 440 used 5661220K, path: <PathGroup with 639 deadended, 21 active>
step 450 used 5800060K, path: <PathGroup with 654 deadended, 22 active>
step 460 used 5940864K, path: <PathGroup with 672 deadended, 23 active>
step 470 used 6093052K, path: <PathGroup with 692 deadended, 19 active>
step 480 used 6225804K, path: <PathGroup with 709 deadended, 21 active>
step 490 used 6365444K, path: <PathGroup with 724 deadended, 22 active>
step 500 used 6505596K, path: <PathGroup with 742 deadended, 23 active>
step 510 used 6657220K, path: <PathGroup with 762 deadended, 19 active>
step 520 used 6790864K, path: <PathGroup with 779 deadended, 21 active>
step 530 used 6930288K, path: <PathGroup with 794 deadended, 22 active>
step 540 used 7070896K, path: <PathGroup with 812 deadended, 23 active>
step 550 used 7223844K, path: <PathGroup with 832 deadended, 19 active>
step 560 used 7362548K, path: <PathGroup with 849 deadended, 21 active>
step 570 used 7497068K, path: <PathGroup with 864 deadended, 22 active>
step 580 used 7647172K, path: <PathGroup with 882 deadended, 23 active>
step 590 used 7796680K, path: <PathGroup with 902 deadended, 19 active>
step 600 used 7938464K, path: <PathGroup with 919 deadended, 21 active>
step 610 used 8081920K, path: <PathGroup with 934 deadended, 22 active>
step 620 used 8227720K, path: <PathGroup with 952 deadended, 23 active>
step 630 used 8383368K, path: <PathGroup with 972 deadended, 19 active>
step 640 used 8519976K, path: <PathGroup with 989 deadended, 21 active>
step 650 used 8663744K, path: <PathGroup with 1004 deadended, 22 active>
step 660 used 8813276K, path: <PathGroup with 1022 deadended, 23 active>
step 670 used 8962788K, path: <PathGroup with 1042 deadended, 19 active>
step 680 used 9105320K, path: <PathGroup with 1059 deadended, 21 active>
step 690 used 9249712K, path: <PathGroup with 1074 deadended, 22 active>
step 700 used 9394312K, path: <PathGroup with 1092 deadended, 23 active>
step 710 used 9550336K, path: <PathGroup with 1112 deadended, 19 active>
step 720 used 9693164K, path: <PathGroup with 1129 deadended, 21 active>
step 730 used 9831884K, path: <PathGroup with 1144 deadended, 22 active>
step 740 used 9980848K, path: <PathGroup with 1162 deadended, 23 active>
step 750 used 10137520K, path: <PathGroup with 1182 deadended, 19 active>
step 760 used 10272600K, path: <PathGroup with 1199 deadended, 21 active>
step 770 used 10417164K, path: <PathGroup with 1214 deadended, 22 active>
step 780 used 10566716K, path: <PathGroup with 1232 deadended, 23 active>
step 790 used 10716544K, path: <PathGroup with 1252 deadended, 19 active>
step 800 used 10861092K, path: <PathGroup with 1269 deadended, 21 active>
step 810 used 11006736K, path: <PathGroup with 1284 deadended, 22 active>
step 820 used 11149396K, path: <PathGroup with 1302 deadended, 23 active>
step 830 used 11305680K, path: <PathGroup with 1322 deadended, 19 active>
step 840 used 11449324K, path: <PathGroup with 1339 deadended, 21 active>
step 850 used 11594572K, path: <PathGroup with 1354 deadended, 22 active>
step 860 used 11738088K, path: <PathGroup with 1372 deadended, 23 active>
step 870 used 11895208K, path: <PathGroup with 1392 deadended, 19 active>
step 880 used 12039368K, path: <PathGroup with 1409 deadended, 21 active>
step 890 used 12184604K, path: <PathGroup with 1424 deadended, 22 active>
step 900 used 12326648K, path: <PathGroup with 1442 deadended, 23 active>
step 910 used 12484024K, path: <PathGroup with 1462 deadended, 19 active>
step 920 used 12628136K, path: <PathGroup with 1479 deadended, 21 active>
step 930 used 12766384K, path: <PathGroup with 1494 deadended, 22 active>
step 940 used 12916460K, path: <PathGroup with 1512 deadended, 23 active>
step 950 used 13073756K, path: <PathGroup with 1532 deadended, 19 active>
step 960 used 13218424K, path: <PathGroup with 1549 deadended, 21 active>
step 970 used 13356412K, path: <PathGroup with 1564 deadended, 22 active>
step 980 used 13506116K, path: <PathGroup with 1582 deadended, 23 active>
step 990 used 13663068K, path: <PathGroup with 1602 deadended, 19 active>
step 1000 used 13808208K, path: <PathGroup with 1619 deadended, 21 active>
step 1010 used 13946848K, path: <PathGroup with 1634 deadended, 22 active>
step 1020 used 14096416K, path: <PathGroup with 1652 deadended, 23 active>
step 1030 used 14254352K, path: <PathGroup with 1672 deadended, 19 active>
step 1040 used 14399324K, path: <PathGroup with 1689 deadended, 21 active>
step 1050 used 14545856K, path: <PathGroup with 1704 deadended, 22 active>
step 1060 used 14687564K, path: <PathGroup with 1722 deadended, 23 active>
step 1070 used 14845172K, path: <PathGroup with 1742 deadended, 19 active>
step 1080 used 14990740K, path: <PathGroup with 1759 deadended, 21 active>
